iter	Logloss
0	0.676027788
1	0.6592045504
2	0.6445739
3	0.6306618225
4	0.6184390398
5	0.6079923215
6	0.5988984126
7	0.5892266108
8	0.5807569104
9	0.5736645633
10	0.5669691464
11	0.5610976566
12	0.5556753875
13	0.5505650573
14	0.5457201987
15	0.5416098849
16	0.5377852543
17	0.5351097043
18	0.5320943308
19	0.529565665
20	0.5268418217
21	0.5248303691
22	0.52248488
23	0.5201152432
24	0.5176809639
25	0.5155531206
26	0.5137033041
27	0.5118064554
28	0.5096158595
29	0.5082224673
30	0.5062937538
31	0.5050260163
32	0.5035768541
33	0.5027513729
34	0.5011476981
35	0.5001996974
36	0.4990108606
37	0.498018495
38	0.4968422078
39	0.4958242213
40	0.4950015159
41	0.4940200123
42	0.4932966628
43	0.4923805551
44	0.4915328198
45	0.4906183857
46	0.4898697609
47	0.4891743998
48	0.4885790403
49	0.4878645503
50	0.4873035932
51	0.4866060345
52	0.4859368289
53	0.485215583
54	0.484492369
55	0.484085615
56	0.4835475972
57	0.4829595389
58	0.4823521448
59	0.481806627
60	0.4812630925
61	0.4807129744
62	0.4801044243
63	0.479637394
64	0.4791432518
65	0.4788202151
66	0.4782424559
67	0.4778978352
68	0.4775317961
69	0.4771259803
70	0.4766347791
71	0.4763378681
72	0.4757774597
73	0.4753752844
74	0.4749157915
75	0.474665331
76	0.4742727045
77	0.4738490474
78	0.4736210268
79	0.4732106899
80	0.4728769521
81	0.4725530408
82	0.4721921085
83	0.4719436638
84	0.4715680308
85	0.471212117
86	0.4709278891
87	0.4706780775
88	0.4705049075
89	0.4702364265
90	0.4698939193
91	0.4696255696
92	0.4693255663
93	0.4691607934
94	0.4689600341
95	0.4687955109
96	0.4686142133
97	0.4683429052
98	0.468098277
99	0.4677618211
100	0.4675490255
101	0.4674723865
102	0.4672745734
103	0.466987297
104	0.4667727612
105	0.4664947849
106	0.4662029377
107	0.4661077594
108	0.46585505
109	0.4655976109
110	0.465332359
111	0.4649992747
112	0.4647808166
113	0.4646001716
114	0.4641578597
115	0.4639652594
116	0.4637809439
117	0.4635875646
118	0.4634209769
119	0.4631207074
120	0.4629742432
121	0.4626694643
122	0.4624861674
123	0.4623384551
124	0.4621252853
125	0.4618685879
126	0.4615790676
127	0.4613697124
128	0.4611507805
129	0.460960656
130	0.4607116403
131	0.4604525993
132	0.4602430822
133	0.4600864732
134	0.4598289796
135	0.459503012
136	0.4593104619
137	0.4592241684
138	0.4590651829
139	0.4588206628
140	0.4586666256
141	0.4584784576
142	0.4583547248
143	0.4582109758
144	0.4580464112
145	0.4579763669
146	0.4577806397
147	0.4575662455
148	0.4573269884
149	0.4571607226
150	0.4569192427
151	0.4567848006
152	0.4566117414
153	0.4563729084
154	0.4561933332
155	0.4559095581
156	0.4557354452
157	0.455615547
158	0.4554085851
159	0.4552706541
160	0.4550481254
161	0.4547662602
162	0.4545505806
163	0.4543549208
164	0.4541675692
165	0.454051799
166	0.4539106636
167	0.4536772749
168	0.453473626
169	0.4532597706
170	0.4530437816
171	0.4528835224
172	0.4527504294
173	0.4525307516
174	0.4523972806
175	0.4521410374
176	0.4520023028
177	0.4517574999
178	0.4514978871
179	0.4513282998
180	0.4509887994
181	0.4508195581
182	0.4506011484
183	0.4505030724
184	0.4502767751
185	0.4501459883
186	0.4500139061
187	0.4497616883
188	0.4494746782
189	0.4492532688
190	0.4490765015
191	0.4489218324
192	0.4487150852
193	0.4485078888
194	0.4483852211
195	0.4481945509
196	0.4479549755
197	0.4478485561
198	0.4476442537
199	0.4474534928
200	0.447232809
201	0.4470108432
202	0.4469106396
203	0.4467217677
204	0.446508677
205	0.4463119272
206	0.4459667485
