iter	Passed	Remaining
0	2	2320
1	4	2125
2	6	2033
3	7	1949
4	9	1960
5	11	1964
6	13	1954
7	15	1938
8	17	1912
9	18	1871
10	20	1851
11	22	1832
12	23	1815
13	27	1963
14	29	1960
15	31	1954
16	33	1935
17	35	1917
18	36	1902
19	38	1901
20	41	1916
21	43	1931
22	45	1938
23	47	1926
24	49	1930
25	51	1929
26	53	1925
27	55	1912
28	56	1906
29	59	1927
30	62	1938
31	64	1944
32	66	1952
33	68	1943
34	70	1935
35	71	1927
36	74	1928
37	76	1931
38	78	1925
39	80	1925
40	82	1919
41	83	1912
42	85	1907
43	87	1896
44	89	1895
45	91	1903
46	93	1904
47	95	1899
48	97	1894
49	99	1889
50	101	1883
51	103	1879
52	105	1876
53	107	1877
54	109	1881
55	111	1884
56	113	1882
57	115	1878
58	117	1874
59	119	1868
60	121	1864
61	123	1863
62	125	1860
63	126	1856
64	128	1852
65	130	1847
66	132	1842
67	134	1837
68	135	1834
69	137	1832
70	139	1830
71	142	1830
72	143	1827
73	145	1823
74	147	1820
75	149	1816
76	151	1812
77	153	1811
78	155	1811
79	157	1813
80	159	1811
81	161	1808
82	163	1804
83	165	1800
84	167	1797
85	168	1794
86	171	1798
87	173	1801
88	176	1802
89	178	1801
90	180	1801
91	182	1800
92	184	1797
93	186	1797
94	188	1798
95	190	1797
96	192	1794
97	194	1791
98	196	1787
99	198	1783
100	200	1780
101	202	1780
102	204	1779
103	206	1780
104	208	1781
105	210	1778
106	212	1775
107	214	1773
108	216	1770
109	218	1768
110	220	1766
111	222	1764
112	224	1761
113	226	1758
114	228	1756
115	230	1753
116	232	1751
117	234	1749
118	236	1748
119	238	1747
120	240	1745
121	242	1742
122	244	1739
123	245	1737
124	247	1734
125	249	1731
126	252	1732
127	254	1732
128	256	1730
129	258	1728
130	260	1726
131	262	1723
132	263	1720
133	265	1718
134	268	1718
135	270	1717
136	272	1714
137	274	1712
138	275	1709
139	277	1706
140	279	1703
141	281	1701
142	284	1702
143	286	1705
144	289	1705
145	291	1703
146	293	1704
147	296	1704
148	298	1705
149	301	1706
150	303	1707
151	305	1705
152	307	1703
153	309	1701
154	311	1699
155	313	1697
156	316	1697
157	318	1696
158	320	1695
159	322	1694
160	324	1691
161	326	1688
162	328	1686
163	330	1683
164	332	1683
165	334	1682
166	336	1680
167	338	1677
168	340	1675
169	342	1673
170	344	1670
171	346	1669
172	348	1667
173	351	1666
174	353	1664
175	355	1662
176	357	1660
177	359	1657
178	361	1655
179	363	1654
180	365	1653
181	367	1652
182	369	1649
183	371	1647
184	373	1644
185	375	1642
186	377	1640
187	379	1640
188	382	1641
189	385	1641
190	387	1641
191	390	1642
192	392	1640
193	394	1640
194	397	1642
195	400	1644
196	403	1644
197	406	1644
198	408	1645
199	411	1646
200	414	1645
201	417	1647
202	420	1650
203	423	1653
204	426	1655
205	429	1656
206	432	1656
207	434	1654
208	437	1654
209	439	1653
210	442	1653
211	444	1653
212	447	1653
213	450	1653
214	452	1652
215	455	1652
216	458	1652
217	461	1654
218	464	1656
219	467	1655
220	469	1655
221	472	1655
222	475	1655
223	477	1654
224	480	1654
225	482	1653
226	484	1651
227	487	1649
228	489	1647
229	492	1647
230	495	1647
231	497	1646
232	499	1645
233	502	1643
234	504	1642
235	507	1641
236	509	1640
237	512	1639
238	514	1638
239	516	1636
240	519	1635
241	521	1633
242	524	1633
243	526	1632
244	529	1632
245	531	1630
246	533	1627
247	535	1625
248	537	1622
249	540	1621
250	542	1619
251	544	1617
252	547	1615
253	549	1612
254	551	1610
255	553	1608
256	556	1608
257	558	1606
258	560	1604
259	562	1602
260	564	1599
261	567	1597
262	569	1594
263	571	1592
264	573	1591
265	576	1589
266	578	1587
267	580	1585
268	582	1583
269	584	1580
270	587	1579
271	589	1579
272	592	1578
273	595	1577
274	597	1575
275	599	1573
276	601	1570
277	603	1568
278	606	1566
279	608	1563
280	610	1561
281	612	1558
282	614	1555
283	616	1553
284	618	1550
285	620	1549
286	623	1548
287	625	1546
288	628	1545
289	630	1543
290	632	1540
291	634	1538
292	636	1536
293	639	1534
294	641	1534
295	644	1531
296	646	1529
297	648	1527
298	650	1525
299	652	1523
300	655	1522
301	657	1520
302	660	1518
303	662	1516
304	664	1514
305	666	1512
306	669	1511
307	671	1508
308	673	1506
309	675	1504
310	678	1502
311	680	1500
312	682	1497
313	684	1496
314	687	1494
315	689	1491
316	691	1489
317	693	1486
318	695	1484
319	697	1481
320	699	1479
321	701	1476
322	703	1474
323	705	1471
324	707	1469
325	709	1466
326	711	1464
327	713	1461
328	715	1459
329	717	1457
330	720	1455
331	722	1452
332	724	1450
333	726	1447
334	728	1445
335	730	1442
336	732	1441
337	735	1440
338	738	1439
339	740	1437
340	742	1435
341	745	1433
342	747	1431
343	749	1429
344	751	1427
345	753	1425
346	755	1422
347	757	1420
348	759	1417
349	761	1414
350	764	1413
351	766	1411
352	768	1409
353	770	1406
354	772	1404
355	774	1401
356	776	1399
357	778	1396
358	781	1395
359	783	1393
360	785	1390
361	787	1388
362	789	1385
363	791	1383
364	793	1380
365	796	1378
366	798	1376
367	800	1374
368	802	1371
369	804	1369
370	806	1366
371	808	1364
372	810	1362
373	812	1360
374	815	1358
375	817	1356
376	819	1353
377	821	1351
378	823	1348
379	825	1346
380	827	1343
381	829	1341
382	831	1339
383	833	1337
384	835	1335
385	838	1333
386	840	1330
387	842	1328
388	844	1326
389	847	1325
390	850	1323
391	852	1322
392	854	1320
393	856	1318
394	859	1315
395	861	1313
396	863	1311
397	865	1309
398	867	1306
399	869	1304
400	871	1301
401	873	1299
402	876	1297
403	878	1296
404	881	1294
405	883	1292
406	885	1290
407	887	1288
408	890	1286
409	893	1285
410	896	1284
411	899	1283
412	901	1281
413	903	1279
414	906	1277
415	909	1276
416	911	1274
417	914	1273
418	916	1271
419	919	1269
420	921	1267
421	923	1265
422	926	1263
423	929	1262
424	931	1260
425	933	1258
426	935	1255
427	938	1253
428	941	1252
429	943	1250
430	946	1249
431	948	1247
432	950	1245
433	953	1243
434	955	1241
435	958	1239
436	960	1238
437	963	1235
438	965	1233
439	967	1231
440	969	1229
441	973	1228
442	976	1227
443	979	1226
444	981	1224
445	984	1222
446	986	1220
447	989	1219
448	991	1217
449	993	1214
450	996	1212
451	998	1210
452	1000	1208
453	1002	1205
454	1005	1204
455	1007	1202
456	1010	1200
457	1012	1198
458	1014	1195
459	1016	1193
460	1018	1191
461	1021	1189
462	1023	1187
463	1025	1184
464	1027	1182
465	1029	1180
466	1031	1177
467	1033	1175
468	1036	1173
469	1038	1171
470	1040	1169
471	1043	1167
472	1045	1164
473	1047	1162
474	1049	1159
475	1051	1157
476	1054	1155
477	1056	1154
478	1059	1152
479	1062	1150
480	1064	1148
481	1066	1146
482	1069	1144
483	1071	1142
484	1073	1140
485	1075	1137
486	1077	1135
487	1080	1133
488	1081	1130
489	1084	1128
490	1086	1126
491	1088	1124
492	1091	1122
493	1093	1120
494	1095	1117
495	1097	1115
496	1100	1113
497	1102	1111
498	1104	1109
499	1107	1107
500	1109	1104
501	1111	1102
502	1113	1099
503	1115	1097
504	1117	1095
505	1120	1093
506	1122	1091
507	1124	1088
508	1126	1086
509	1128	1084
510	1130	1081
511	1132	1079
512	1134	1077
513	1137	1075
514	1139	1072
515	1141	1070
516	1143	1067
517	1145	1065
518	1147	1063
519	1149	1061
520	1151	1059
521	1154	1057
522	1156	1055
523	1158	1052
524	1160	1050
525	1162	1047
526	1165	1045
527	1167	1043
528	1169	1041
529	1171	1038
530	1173	1036
531	1175	1034
532	1177	1031
533	1179	1029
534	1181	1027
535	1183	1024
536	1185	1022
537	1187	1020
538	1189	1017
539	1191	1015
540	1193	1012
541	1196	1011
542	1199	1009
543	1201	1007
544	1204	1005
545	1206	1003
546	1208	1000
547	1210	998
548	1212	996
549	1215	994
550	1217	992
551	1219	989
552	1221	987
553	1223	984
554	1225	982
555	1227	980
556	1230	978
557	1232	976
558	1234	974
559	1236	971
560	1238	969
561	1240	966
562	1242	964
563	1245	962
564	1247	960
565	1249	958
566	1251	955
567	1253	953
568	1255	951
569	1257	948
570	1259	946
571	1262	944
572	1264	942
573	1267	940
574	1269	938
575	1271	936
576	1273	933
577	1275	931
578	1278	929
579	1280	927
580	1282	924
581	1284	922
582	1286	920
583	1288	917
584	1290	915
585	1292	913
